
    # |      % | total% | amount | word
 ---------------------------------------
  225 |  0.047 | 62.119 |    932 | told 
  226 |  0.046 | 62.164 |    908 | find 
  227 |  0.046 | 62.210 |    906 | part 
  228 |  0.046 | 62.256 |    906 | love 
  229 |  0.046 | 62.301 |    905 | knew 
  230 |  0.046 | 62.347 |    904 | against 
  231 |  0.045 | 62.392 |    901 | does 
  232 |  0.045 | 62.437 |    899 | anything 
  233 |  0.045 | 62.483 |    898 | years 
  234 |  0.045 | 62.528 |    896 | cannot 
  235 |  0.045 | 62.573 |    890 | each 
  236 |  0.044 | 62.617 |    882 | looking 
  237 |  0.044 | 62.662 |    882 | works 
  238 |  0.044 | 62.706 |    875 | want 
  239 |  0.043 | 62.749 |    856 | black 
  240 |  0.043 | 62.792 |    855 | keep 
  241 |  0.043 | 62.835 |    852 | hear 
  242 |  0.043 | 62.878 |    852 | whole 
  243 |  0.043 | 62.920 |    844 | turned 
  244 |  0.042 | 62.963 |    842 | stood 
  245 |  0.042 | 63.005 |    840 | almost 
  246 |  0.042 | 63.047 |    839 | however 
  247 |  0.042 | 63.089 |    837 | having 
  248 |  0.042 | 63.131 |    828 | friend 
  249 |  0.041 | 63.172 |    820 | rather 
  250 |  0.041 | 63.214 |    818 | light 
  251 |  0.041 | 63.255 |    815 | days 
  252 |  0.041 | 63.295 |    809 | chapter 
  253 |  0.041 | 63.336 |    807 | began 
  254 |  0.041 | 63.377 |    807 | sat 
  255 |  0.040 | 63.417 |    803 | moment 
  256 |  0.040 | 63.458 |    801 | between 
  257 |  0.040 | 63.498 |    799 | kind 
  258 |  0.040 | 63.538 |    792 | perhaps 
  259 |  0.040 | 63.578 |    791 | cried 
  260 |  0.040 | 63.618 |    791 | half 
  261 |  0.039 | 63.657 |    778 | help 
  262 |  0.039 | 63.696 |    773 | gone 
  263 |  0.039 | 63.734 |    770 | voice 
  264 |  0.039 | 63.773 |    766 | indeed 
  265 |  0.039 | 63.812 |    765 | lady 
  266 |  0.038 | 63.850 |    762 | whom 
  267 |  0.037 | 63.887 |    742 | read 
  268 |  0.037 | 63.925 |    740 | name 
  269 |  0.037 | 63.962 |    737 | air 
  270 |  0.037 | 63.999 |    734 | end 
  271 |  0.037 | 64.036 |    733 | best 
  272 |  0.037 | 64.073 |    731 | along 
  273 |  0.037 | 64.109 |    730 | often 
  274 |  0.037 | 64.146 |    728 | within 
  275 |  0.037 | 64.183 |    727 | called 
  276 |  0.036 | 64.219 |    724 | words 
  277 |  0.036 | 64.255 |    721 | water 
  278 |  0.036 | 64.292 |    720 | hope 
  279 |  0.036 | 64.328 |    716 | course 
  280 |  0.036 | 64.364 |    715 | alone 
  281 |  0.036 | 64.400 |    714 | child 
  282 |  0.036 | 64.436 |    713 | among 
  283 |  0.036 | 64.471 |    709 | use 
  284 |  0.036 | 64.507 |    709 | wish 
  285 |  0.036 | 64.543 |    705 | small 
  286 |  0.036 | 64.578 |    705 | word 
  287 |  0.035 | 64.614 |    701 | woman 
  288 |  0.035 | 64.649 |    699 | next 
  289 |  0.035 | 64.684 |    695 | gave 
  290 |  0.035 | 64.719 |    694 | also 
  291 |  0.035 | 64.754 |    691 | thus 
  292 |  0.035 | 64.788 |    687 | nora 
  293 |  0.035 | 64.823 |    686 | elizabeth 
  294 |  0.035 | 64.857 |    685 | dark 
  295 |  0.034 | 64.892 |    683 | lay 
  296 |  0.034 | 64.926 |    683 | it's 
  297 |  0.034 | 64.960 |    677 | god 
